,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
120,181266,0.758,0.931,7,-0.867,1,0.045,0.153,9.43E-05,0.0831,0.797,123.966,181267,4
121,198458,0.635,0.745,7,-3.984,1,0.0299,0.304,0,0.221,0.538,90.994,198459,4
122,200760,0.608,0.79,4,-1.481,0,0.0791,0.118,0,0.212,0.689,168.089,200760,4
123,239159,0.775,0.799,2,-3.463,0,0.0388,0.517,0,0.267,0.907,99.934,239160,4
124,225720,0.666,0.908,5,-2.819,0,0.056,0.0323,0,0.383,0.655,155.048,225720,4
125,177000,0.79,0.888,10,-3.589,0,0.0479,0.034,4.48E-06,0.0783,0.946,148.028,177000,4
126,210478,0.621,0.873,11,-2.888,0,0.103,0.0194,0,0.488,0.401,169.91,210478,4
127,193609,0.728,0.821,0,-3.129,1,0.0419,0.0307,0,0.0386,0.816,108.001,193609,4
128,193253,0.752,0.804,11,-3.512,0,0.0656,0.022,1.76E-05,0.0865,0.795,146.943,193253,4
129,181975,0.76,0.722,6,-4.429,0,0.0908,0.00785,0.000326,0.116,0.687,120.055,181976,4
130,197506,0.879,0.846,4,-2.309,0,0.0375,0.0707,0,0.0797,0.966,129.986,197506,4
