,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1746,216504,0.606,0.9,0,-4.504,1,0.119,0.0101,0,0.075,0.233,133.963,216504,4
1747,184665,0.614,0.647,0,-4.681,0,0.0524,0.0687,0,0.104,0.368,163.862,184665,4
1748,179929,0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,179930,4
1749,204906,0.623,0.624,1,-5.469,1,0.0595,0.0941,0,0.119,0.347,180.016,204907,4
1750,184460,0.624,0.785,8,-3.337,1,0.0498,0.0629,0,0.135,0.593,163.929,184460,4
1751,180065,0.634,0.778,9,-4.135,1,0.0809,0.0189,0,0.291,0.462,155.982,180066,4
1752,277694,0.298,0.295,2,-8.789,1,0.0318,0.869,0,0.111,0.199,171.361,277694,4
1753,185850,0.611,0.744,4,-6.845,1,0.0654,0.026,0,0.176,0.705,105.882,185851,4
1754,237262,0.722,0.721,5,-6.423,1,0.0453,0.111,0.00000347,0.269,0.761,107.923,237262,4
1755,185694,0.917,0.62,1,-4.95,1,0.0569,0.262,0,0.114,0.457,106.035,185694,4
1756,223455,0.594,0.63,7,-6.146,1,0.146,0.143,0,0.352,0.44,185.976,223456,4
1757,222286,0.64,0.774,0,-5.16,0,0.0434,0.129,0,0.0892,0.641,124.966,222287,4
1758,230016,0.654,0.729,8,-7.502,1,0.069,0.0576,0,0.202,0.611,121.01,230017,4
1759,167374,0.616,0.795,1,-5.837,1,0.0429,0.00344,0.00000217,0.432,0.333,124.048,167375,4
1760,214366,0.762,0.864,11,-3.885,0,0.0916,0.108,0.00000145,0.0588,0.644,104.95,214367,4
1761,213229,0.701,0.869,7,-5.397,1,0.044,0.0343,0.00451,0.0492,0.543,105.01,213230,4
1762,231360,0.671,0.691,7,-6.627,1,0.0529,0.00816,0,0.131,0.381,94.984,231361,4
1763,209759,0.732,0.569,11,-8.109,0,0.0372,0.0557,0,0.113,0.383,107.954,209759,4
1764,204266,0.631,0.512,0,-9.675,0,0.0572,0.511,0,0.0827,0.529,106.027,204267,4
1765,215759,0.77,0.636,11,-6.724,0,0.131,0.169,0,0.0676,0.492,105.93,215760,4
1766,149668,0.552,0.591,1,-4.717,0,0.102,0.0192,0,0.0877,0.706,87.222,149668,4
